'merica	mˈɛɹəkə
'ndrangheta	ndɹæŋɡˈɛɾə
'cause	kˈʌz
'cept	sˈɛpt
'd	d
'em	əm
'fraid	fɹˈAd
'gainst	ɡˈɛnst
'll	əl
'm	m
'mongst	mˈʌŋst
'n'	ən
'neath	nˈiθ
'nother	nˈʌðəɹ
'pon	pˈɑn
'roid	ɹˈYd
's	s
't	t
'tis	tˈɪz
'tude	tˈud
'twas	twˈʌz
'tween	twˈin
'twere	twˈɜɹ
'twill	twˈɪl
'twixt	twˈɪkst
'twould	twˈʊd
'un	ən
'za	zɑ
-able	ˈʌbᵊl
-ful	fˈʊl
-san	sˌɑn
a	ˈA
a's	ˈAz
a-frame	ˈAfɹˌAm
a-line	ˈAlˌIn
a-list	ˈAlˌɪst
a-shirt	ˈAʃˌɜɹt
a-side	ˈAsˌId
a-team	ˈAtˌim
aa	ˈɑˌɑ
abs	ˈæbz
abta	ˈæbtə
acas	ˈAkˌæs
acat	ˈAkˌæt
acoss	ˈAkˌɑs
act	ˈækt
ad	ˈæd
ada-accessible	ˌAdˌiˌAəksˈɛsəbᵊl
ada-compliant	ˌAdˌiˌAkəmplˈIənt
adas	ˈAdˌæs
add	ˈæd
ag	ˈæɡ
ah	ˈɑ
ai	ˈAˌI
aid	ˈAd
aids	ˈAdz
aim	ˈAm
aj	ˈAʤˌA
am	æm
amat	ˈAmˌæt
amraam	ˈæmɹˌæm
ansi	ˈænsi
apec	ˈApˌɛk
apra	ˈæpɹə
arc	ˈɑɹk
as	æz
asap	ˈAsæp
asat	ˈAsˌæt
asbo	ˈæzbO
ascap	ˈæzkˌæp
ascii	ˈæski
asdic	ˈæzdˌɪk
asean	ˈæsiˌæn
asic	ˈAsɪk
asio	ˈAziO
aslef	ˈæzlɛf
atol	ˈAtˌɔl
awacs	ˈAwˌæks
awol	ˈAwˌɔl
aachen	ˈɑkən
aadhaar	ɑdhˈɑɹ
aalborg	ˈɔlbˌɔɹɡ
aarhus	ˈɔɹhˌus
aaron	ˈɛɹən
aaronic	əɹˈɑnɪk
ab	ˈɑb
abadan	ˌɑbədˈɑn
abaddon	əbˈædən
abakan	ˈɑbəkɑn
abba	ˈɑbə
abbasid	əbˈæsɪd
abbevillian	æbvˈɪljən
abel	ˈAbᵊl
abenaki	ˌæbənˈæki
abenomics	ˌɑbAnˈɑmɪks
